# AIST/GSJ, Geochemical Map of Hot Spring Waters (GRES-DB ONSEN 2020), gbank.gsj.jp/gres-db
# source:    https://gbank.gsj.jp/gres-db/download/onsen/GSJ_DB_GRES-DB_ONSEN_2020.zip
# sha256:    09ceca4ebf6a4ba366c6093845f190b95e2fd3a2ad7c7d97f0ac074bc4a68cab
# licence:   政府標準利用規約 第2.0版 (CC BY 4.0 compatible), attribution required
# generated: scripts/fetch-aist.mjs -- do not edit by hand
#
# Positions are the AREA CENTROID of the polygon each row publishes. Every
# cell in this file is 187-191 m across, which is a publisher privacy
# choice rather than GPS scatter. The centroid is a distance key only: it
# must never be written to a record location or used to mint a pin.
ser	onsenName	sourceName	prefecture	lat	lng	measuredAt	celsius	unit	ph	tds	sodium	calcium	magnesium	iron	chloride	sulfate	bicarbonate	silica
3654	阿部倉温泉		神奈川県	35.256541628083035	139.63539342317705	1996	14.7	mg/kg	8.6	424	121	29.3	4.67		40.3	43.9	290	
3655	吉井鉱泉		神奈川県	35.245278603330384	139.7013910764832	1983	17.1	mg/kg	8.2	640.7	229	15.2	7.39		56.8	3.89	555	
3656	大矢部鉱泉		神奈川県	35.24083494982579	139.6722282005539	1983	18.1	mg/kg	7.9	1308	462	8.58	4.7		356	95.3	514	
3657	大矢部温泉		神奈川県	35.240830314069676	139.6722104648559	1995	17.4	mg/kg	9	271	60.7	18.2	2.7		23.3	23.8	120	
3658	野比温泉		神奈川県	35.218052481186426	139.69359662552856	1993	15	mg/kg	9.46		325	1.57	1.85		22.4	29	943	
3659	森崎温泉		神奈川県	35.24833307912271	139.68277777996542	1988	18.8	mg/kg	7.8	2864	980	30.6	27		1220	3.94	770	
3660	(横須賀市鴨居)		神奈川県	35.24861368947417	139.73723181374555	1991	19.8	mg/kg	8.6	13978.2	4294	61.6	343		7160	552	275	
3661	衣笠温泉		神奈川県	35.24555676070949	139.66111379119954	1993	11.1	mg/kg	10.2		118	3	0.08		23.6	94	196	
3662	大矢部温泉		神奈川県	35.24249855392611	139.6694382097171	1997	17.3	mg/kg	7.7		46.2	30.6	27.9		21.1	178	227	
3663	野比千駄ヶ崎温泉		神奈川県	35.21555999410998	139.71029427358897	1972	16.2	mg/kg	7.4	469	26.8	78.1	20.2		49.4	64.8	252	
3664	芦名鉱泉	(猿見谷)	神奈川県	35.23694306844779	139.6199965181597	1972	15.8	mg/kg	9.8	568	188	2.13	0.158		191	6.15	65.1	
3665	二階堂温泉	あらめ湯	神奈川県	35.32694294010647	139.56943953805086	1962	15.5	mg/kg	8.8	1752	732	8.2	5.64		317	17	1345	
3666	鎌倉温泉		神奈川県	35.32777888681721	139.5483355043477	1972	18.8	mg/kg	8.7	460	154	4.11	0.646		17.5	1.38	360	
3667	葉山温泉	(星山温泉)	神奈川県	35.25944271503255	139.59916224048538	1989	16.8	mg/kg	9.2	620.7	193	0.97	0.027		19.6	76.8	300	
3668	葉山温泉	(平の越)	神奈川県	35.26722258066403	139.5933352686282	1991	17.5	mg/kg	9.7	458.8	166	0.676	0.137		13.2	20.5	186	
3669	葉山温泉		神奈川県	35.28249771959601	139.58499088309495	2002	21	mg/kg	8.9		451.9	0.8	0.4		409.3	38.9	387.5	
3670	平塚鉱泉		神奈川県	35.336941308897195	139.31887874327307	1963	17.5	mg/kg	7.4	4836	896	588	174		2960		93.2	
3671	二宮温泉		神奈川県	35.308332512691784	139.25083181833992	1989	14.4	mg/kg	8.2	2572	798	86.1	24.2		1076	219	354	
3672	湘南平塚太古の湯		神奈川県	35.32749952936361	139.34527542623252	1999	35	mg/kg			2375	2132			7560	5.4	2.4	
3673	(川崎市幸区南幸町)		神奈川県	35.53555927745781	139.69001294596515	1970	17.8	mg/kg	8.1	1989	722	5.3	15.4		621	5.4	1017	
3674	(川崎市川崎区南町)		神奈川県	35.52694542781561	139.69972772389934	1999	14.2	mg/kg	8.1		712	31.1	30.8		910	1.17	635	
3675	日の出おふろセンター		神奈川県	35.53027879268473	139.73639139009484	1958	17	mg/kg	8	10160	3350	21.3	86.82		5200		637.2	
3676	(川崎市川崎区昭和)		神奈川県	35.53027631192804	139.73638317610514	1999	14.3	mg/kg	7.6		2340	124	108		3800		878	
3677	鹿島田温泉		神奈川県	35.55138829599431	139.67777516892122	1998	20.7	mg/kg	9.2		1600	27.8	41.4		1810	1.28	1480	
3678	第2宝寿温泉		神奈川県	35.59111138219565	139.6369442370044	1966	20	mg/kg	7.8	969.7	351	14.2	3.534		20.98	31.44	939.7	
3679	有馬療養温泉		神奈川県	35.57166585675227	139.58638401323327	1966	17	mg/kg	6.7	139.7	8.3	15.5	9.478		18.82		153.3	
3680	藤崎かまぶろ温泉		神奈川県	35.52527782353174	139.7205549877552	1965	19	mg/kg	7.6	10805.3	3880	93.32	107		6215	30.74	643.7	
3681	(川崎市中原区新丸子町)		神奈川県	35.574724869412336	139.65778910778337	1967	18.3	mg/kg	8	697.5	436	13.55	5.107		67.39	18.81	1137	
3682	みなみ湯		神奈川県	35.57805686551611	139.66222496385996	1998	16.5	mg/kg	8.1		550	15.3	14.6		200		1260	
3683	住吉温泉松の湯		神奈川県	35.56499756916935	139.65165762891752	1998	17.7	mg/kg	8.2		350	10.4	7.64		85.2		909	
3684	丸子温泉		神奈川県	35.582223955204576	139.66222983164107	1992	19.1	mg/kg	8.7	1354.3	468	8.48	8.79		23.9		1207	
3685	(川崎市中原区中丸子)		神奈川県	35.5699992343471	139.66888490395067	1992	16.8	mg/kg	8.1	1198.5	387	10.1	27.1		227		287	
3686	千年温泉		神奈川県	35.58305386780502	139.62804733675958	1998	18.7	mg/kg	7.6		435	18.6	8.44		12.9		1310	
3687	桐の湯		神奈川県	35.53166798622447	139.68694883123715	1999	15.7	mg/kg	7.5		147	15.7	9.46		55.3		416	
3688	(川崎市幸区中幸町)		神奈川県	35.53166676928164	139.69305500992542	1999	14.5	mg/kg	7.9		995	25.6	36.6		1150	0.53	980	
3689	天神湯		神奈川県	35.56027577228043	139.67610356374078	1980	17.4	mg/kg	8	1969	690	21.3	21.7		330	137	1530	
3690	橘湯		神奈川県	35.561948145273426	139.6627943126906	1980	17.5	mg/kg	7.9	1783	654	12	14.4		369	1.2	1290	
3691	相又峡鉱泉		山梨県	35.327167926934436	138.42843198353563	1981	13.8	mg/kg	8.2	103	15.2	12.9	1.5		7.2	23.2	57.4	
3692	赤石温泉		山梨県	35.566725696727296	138.3926314253243	2002	7.1	mg/kg	2.9	221	2.7	26.6	0.8		0.5	141.3		
3693	明野温泉	明野ふるさと太陽館	山梨県	35.77792574210739	138.46138318300748	1996	45.1	mg/kg	8.1	1358	535.5	6.7	0.8		459.5		708.3	
3694	芦安温泉	岩園館	山梨県	35.63538591520178	138.36956338091417	1998	43.7	mg/kg	9.2	2216	413.8	263.7	0.2		44.1	1419	16.5	
3695	芦安鉱泉		山梨県	35.635074958542226	138.36961501906248	1979	18.8	mg/kg	8.3	212	41.7	22	2		16.4	66.4	73.3	
3696	芦安村営温泉		山梨県	35.63251653105421	138.36253399882577	1975	30.2	mg/kg	9.27	521.1	137.9	20.97	0.608		13.73	305.4	2.959	
3697	穴山温泉	能美荘	山梨県	35.75551962426228	138.4196448589916	1975	14	mg/kg	7.3		9.04	11.8	5.93		4.75	20.5	60.95	
3698	明見温泉		山梨県	35.48808030554144	138.8224869090224	1967	12.2	mg/kg	7	249.1	10.72	26.85	1.801		14.42		236.3	
3699	雨畑温泉	すず里の湯 VILLA雨畑	山梨県	35.405281159207924	138.3294557610034	1986	14.2	mg/kg	7.44	388	17.2	80.5	17.2		5.1	68.6	264.8	
3700	石和温泉	石和温泉管理事務所給湯口	山梨県	35.65805312503766	138.6463768845787	2000	47.2	mg/kg	9.1	358.3	103	10.8	0.5		100.4	59	27.4	
3701	石和温泉	石和観光温泉ホテル	山梨県	35.65138993976743	138.63361482161235	1965	46.6	mg/kg	8.4	227.9	30.1	1.708	0.048		17.64	12.99	66.2	
3702	石和温泉	糸柳	山梨県	35.65749809958009	138.6383261071595	1957	32.6	mg/kg	8	158	32.41	8.929	0.284		33.08	18.68	46.56	
3703	石和温泉	上野温泉保養所	山梨県	35.638334297576094	138.62555976377917	1975	37	mg/kg	8.12	418.3	113.7	13.11	7.756		87.92	21.52	187.6	
3704	石和温泉	県営1号源泉	山梨県	35.65666836737803	138.6427845133885	2000	30.1	mg/kg	9.8	129.4	41.8	1.5	0.02		11.1	7.7	13.4	
3705	石和温泉	県営3号源泉	山梨県	35.65860904483982	138.6438806816845	2000	40.8	mg/kg	9.2	323.8	100.9	6.8	0.03		92.3	49.7	31.7	
3706	石和温泉	県営4号源泉	山梨県	35.65833006706587	138.65387741982133	1990	27.1	mg/kg	9.7	113.2	34.7	2.5			8	7.6	12.1	
3707	石和温泉	県営5号源泉	山梨県	35.65750418788018	138.64973735846738	2000	61.4	mg/kg	8.7	525.8	154.8	22.4	0.09		184.4	92.1	37.8	
3708	石和温泉	県営温泉	山梨県	35.65889054334202	138.65167323959926	1990	43	mg/kg	9.4	272.4	75.6	10	0.3		63.7	36.2	24.3	
3709	石和温泉	県企業局2号源泉	山梨県	35.66083205588212	138.6483288042555	2000	44	mg/kg	8.9	307.5	69.9	16.8	2.2		63.6	45.7	51.7	
3710	石和温泉	公衆浴場	山梨県	35.65055346551624	138.63721089703242	1962	44	mg/kg	7.1	650	190	16.33	0.994		220	102.9	37.8	
3711	石和温泉	小松農園	山梨県	35.66166632241814	138.65805391312912	1957	30.1	mg/kg	7.7	228	54.43	6729	0.59		53.54	26.67	54.12	
3712	石和温泉	日の出温泉	山梨県	35.66273692444898	138.6374246132681	1963	36.5	mg/kg	8.4	691	200.1	17.44	0.089		216.5	120	79.44	
3713	石和温泉	弘玉園	山梨県	35.65527858083493	138.6591694587245	1971	53.5	mg/kg	7.7	825.2	222.7	33.5	12.7		214	152.3	152.9	
3714	石和温泉	ホテル石風	山梨県	35.65194282557019	138.63888526303938	1962	45.7	mg/kg	7.2	725	202	22.64	0.469		250.9	110.3	35.4	
3715	石和温泉	ホテル平成	山梨県	35.65027675185938	138.6319376977754	1989	31.2	mg/kg	8.5	212.1	52	1.8	0.07		35	18.6	52.9	
3716	石和温泉	深雪温泉	山梨県	35.651386505812134	138.63332458125055	1962	44.5	mg/kg	7.9	441	115	5.852	0.938		126.9	59.67	60.32	
3717	石和温泉		山梨県	35.656668475188994	138.6427846067177	1981	38.7	mg/kg	9.8	139	42.1	2.4			9.6	5.7	31.3	
3718	石和温泉		山梨県	35.657498550169294	138.64971608335725	1981	66.3	mg/kg	8.4	413	113.2	12.5			128.8	63.5	41.1	
3719	石和温泉		山梨県	35.65833087901903	138.65388040083644	1981	32.3	mg/kg	9.8	144	41	2.8			19.8	9	32.8	
3720	石和温泉		山梨県	35.657499030444846	138.64193989690378	1981	43.5	mg/kg	9	396	105.2	9.3			117.5	58.5	33.6	
3721	泉温泉健康センター		山梨県	35.86035815672877	138.37962440479356	1993	52.8	mg/kg	7.2	8377	3115	53.8	20.5		2161		5397	
3722	一の橋温泉		山梨県	35.768591961215726	138.73719981500093	1978	23.9	mg/kg	8.4	350	60.5	27.9	1.04		68	115	29.8	
3723	一宮温泉	一宮温泉維持管理組合	山梨県	35.654999384605134	138.66360908665183	2001	37.7	mg/kg	8.3	254	68.7	16.5	3.1		63.6	31	100.3	
3724	一宮温泉	笛吹観光温泉	山梨県	35.655000103709995	138.66361171558862	1970	55.3	mg/kg	9.1	390.5	110.3	4.968	1.241		113.2	49.14	51.57	
3725	一宮町金沢温泉	ももの里温泉	山梨県	35.62618389852353	138.69809954841307	1994	32.3	mg/kg	9.7	119	34.6	2.7			9.4	23.3	3.9	
3726	今諏訪温泉	御柱の湯	山梨県	35.63677595492121	138.5000871477552	1992	41.9	mg/kg	7.9		389.3	30.7	7.7		384.2	226.1	252.6	
3727	岩下温泉	ボーリング泉	山梨県	35.683661447997615	138.65392623107593	1979	27.9	mg/kg	9.3	202	46	5.63	0.15		20.2	28.2	73.2	
3728	岩下温泉		山梨県	35.683613324031946	138.65389766153416	1986	28.2	mg/kg	8.96	154	34.9	6.8	0.8		11.7	24.6	55	
3729	岩間温泉		山梨県	35.72469473167472	138.77430467439822		23.5	mg/kg	9.5	91.6	19.5	2.82	0.27		4.8	16.6	34.8	
3730	塩山温泉		山梨県	35.70946426837691	138.72796762107777	1977	19	mg/kg	9.9		42	0.85	0.03		9.12	5	84.53	
3731	大滝温泉	文勝館	山梨県	35.475280809990174	138.34056622553157	1993	12.1	mg/kg	7.2	618.2	57.1	141.3	15.3		6	283.9	280.3	
3732	大藪温泉	みはらし	山梨県	35.76298033549115	138.31765207497756	1977	16.2	mg/kg	7.14		244	66.8	1.05		500	13	26.06	
3733	大藪温泉	元湯鈴木旅館	山梨県	35.76214659134771	138.3202654289524	1975	13	mg/kg	6.7		1120	266	0.72		2132	22	38.42	
3734	奥山温泉		山梨県	35.22723582210435	138.41656501951465	1992	44.9	mg/kg	9.9	123.5	29.3	3.1	0.01		12.7	1		
3735	忍野温泉		山梨県	35.45611188046665	138.82222460765988	1978		mg/kg	6.85		6.43	10.7	3.99		2.82		61.13	
3736	御勅使川温泉	村営3号源泉	山梨県	35.63808072314891	138.3821898368274	1990	28.1	mg/kg	9.9	1624	196.6	261.4			4.1	1018	5.3	
3737	乙女霊泉		山梨県	35.79186425424336	138.64345399980843	1996	11.8	mg/kg	2.2	5303	7.9	36.5	45.2		0.2	3052		
3738	甲斐大泉温泉	パノラマの湯	山梨県	35.89433298362543	138.4086351323844	2002	51.9	mg/kg	7.1	2100	686.7	31.8	20.6		159.8	219.5	1539.5	
3739	春日居温泉	春日居温泉病院	山梨県	35.65972558127284	138.6508470966206	1978	39.5	mg/kg	8.3	419	132.9	13.01	0.941		124.8	62.7	105.6	
3740	春日居温泉	町営2号源泉	山梨県	35.65888872818788	138.64583223326548	1990	45.8	mg/kg	9	300.9	70.3	16.8	1.9		66.9	41.8	49	
3741	春日居温泉		山梨県	35.65888838743693	138.64583023122674	1981	53.4	mg/kg	8.6	683	105	14	1.1		119.5	64	37.7	
3742	勝沼町温泉	ぶどうの国健康センター	山梨県	35.67736626948923	138.72051630606387	2001	25.9	mg/kg	8.8	181.8	33.7	0.3	0.04		5.5	4.1	62.3	
3743	勝沼町ぶどうの丘温泉	天空の湯	山梨県	35.675010594867494	138.73663619657344	1998	41.1	mg/kg	9.4	181	57	1.8			13.3	7.9	63.5	
3744	勝沼町老人福祉センター		山梨県	35.67734313796635	138.72067119937557	1972	27.6	mg/kg	8.8	287.8	40.06	1.245	0.584		1.708	10.02	98	
3745	金山沢温泉	桃源天恵泉	山梨県	35.6511105863352	138.40972001911524	1991	28.8	mg/kg	10.6	168.5	49.2	3.1	0.03		1.1	34	12.8	
3746	釜無川温泉	釜無川レクリエーションセンター	山梨県	35.64560262418533	138.50768672100264	1981	37.3	mg/kg	7.79	1110	388.6	22.2	15.1		450.9	20.1	353.3	
3747	上九の湯		山梨県	35.53063244939773	138.61000880701522	1996	27.9	mg/kg	9.4	2002	177.5	419.6	0.04		20.1	1355		
3748	神の湯温泉		山梨県	35.68277365316796	138.51665108330926	1989	29.4	mg/kg	7.8	160.6	24	4.6	1.4		11.2	1.6	71.4	
3749	川浦温泉	白竜閣	山梨県	35.79527443530791	138.73970778510466	1977	34.2	mg/kg	8.3		84.6	31.9	0.04		51.72	167.5	29.2	
3750	川浦温泉	山県館	山梨県	35.800164786034074	138.74744468700672	1989	41.2	mg/kg	9.3	201.2	40.3	15.1	0.4		16.4	66.8	8.5	
3751	河口湖温泉		山梨県	35.528445488846366	138.75876052254762	1994	45.2	mg/kg	9.04	4826	732.8	665.3	2.4		873.7	1920.4	9.2	
3752	草塩温泉	1号泉	山梨県	35.428803144562906	138.34071135939104	1985	19	mg/kg	7.9	1650	1650	18.4	4.1		576	1.6	877	
3753	草塩温泉	2号泉	山梨県	35.428972233429604	138.34072175276253	1985	17.2	mg/kg	9	2320	909	11.2	3.7		947	1.6	869	
3754	草塩温泉	草塩温泉民宿会館	山梨県	35.42888797995061	138.34055259931495	1995	16.4	mg/kg	7.9	1813	672.8	18.9	3.9		621.8		839.3	
3755	黒森鉱泉		山梨県	35.90021592105459	138.53790945520856	1972	10	mg/kg	6.2	474.4	13.57	176.1	30.19		208.1	4.681	940.9	
3756	黒森鉱泉		山梨県	35.90020246244693	138.53783691654002	1980	12.8	mg/kg	5.9		1375	290	23		2128	10.5	1064	
3757	甲西温泉	やまなみの湯	山梨県	35.58459652650527	138.49920551492514	2001	43.9	mg/kg	7.7	1390	397.7	56.5	7.8		335.8	195.2	488.4	
3758	甲州鰍沢温泉	かじかの湯	山梨県	35.507668801284076	138.42859630924423	1995	37.5	mg/kg	7.7	5239	1275	530	17.8		2833	333.8	51.7	
3759	甲府市内温泉	伊香保温泉	山梨県	35.654443404862334	138.56944176952882	1965	26.8	mg/kg	7.8	197.5	24	6.355	2.523		16.93	6.831	67.11	
3760	甲府市内温泉	駅前温泉組合	山梨県	35.66583536816762	138.56861997331433	1991	38.4	mg/kg	8	1330	334.5	96	2.3		433.2	369.6	61.6	
3761	甲府市内温泉	大滝温泉	山梨県	35.620557391940096	138.5591711619417	1992	48.4	mg/kg	7.4	1326	408.5	33.7	20.1		274		845.4	
3762	甲府市内温泉	温泉旅館組合1号泉	山梨県	35.661109028699144	138.56888080559548	1967	46	mg/kg	8	1660	488	36.02	0.243		651.9	151.8	206.2	
3763	甲府市内温泉	鏡温泉	山梨県	35.65375654048221	138.5691259975908	1956	30.9	mg/kg	8.3	365.6	81.36	20.29	8.519		30.27	2.14	213.9	
3764	甲府市内温泉	喜久の湯	山梨県	35.67471461958985	138.5672494520786	1995	27.4	mg/kg	8	1096	84.3	218.5	0.07		12.7	664.2	17.5	
3765	甲府市内温泉	草津温泉	山梨県	35.65777629508648	138.55499445517248	1975	42.7	mg/kg	8.3	1138	350.3	16.03	0.871		437.9	135.2	85.58	
3766	甲府市内温泉	国母温泉	山梨県	35.64472274810644	138.5605588097769	1972	34	mg/kg	7.6	548.2	93.21	39.08	5.514		55.5	1.299	298.5	
3767	甲府市内温泉	塩部温泉	山梨県	35.67444531597604	138.55861578018212	1957	35.2	mg/kg	8.1	253	38.58	9.996	0.48		52.78	19.58	25.01	
3768	甲府市内温泉	高砂湯	山梨県	35.67083203782404	138.56582871200644	1956	25.7	mg/kg	7.7	516.1	82.47	56.02	2.571		95.6	118.8	91.64	
3769	甲府市内温泉	竹ノ湯	山梨県	35.65957098306002	138.57550232670306	1959	28	mg/kg	7.6	223	14.47	9.406	2.512		18.72	2.16	162.8	
3770	甲府市内温泉	つつじヶ崎温泉	山梨県	35.68083216255356	138.58582993136173	1989	25.3	mg/kg	7.7	462.3	30.6	98.1	8.4		3.3	224.6	136.7	
3771	甲府市内温泉	中楯スイミングスクール	山梨県	35.653028954470656	138.56701237498106	1989	26.3	mg/kg	7.7	129	25.7	2.5	1.1		6.8	5	69.1	
3772	甲府市内温泉	ふじ温泉	山梨県	35.640281195377376	138.57723412120114	1971	27.2	mg/kg	7.5	406.2	70.21	13.97	6.813		20.57	1.051	219.6	
3773	甲府市内温泉	富士見温泉	山梨県	35.693818635684124	138.5420333360673	1962	27.6	mg/kg	8	1023	260.5	22.16	1.085		325.9	71.85	248.7	
3774	甲府市内温泉	湯王温泉	山梨県	35.638888820147415	138.57388788191454	1967	34.9	mg/kg	7.4	340.6	64.9	18.62	5.474		44.14		199.2	
3775	御座石温泉		山梨県	35.72344552535433	138.35057737974338	1996	27	mg/kg	9.9	228.6	74.7	0.5	0.2		0.6	3.7	25.6	
3776	小菅温泉	小菅の湯	山梨県	35.75477318932612	138.95016884971636		31.4	mg/kg	9.98	240	75.3	2	0.1		16.3	4.2	33	
3777	こぶちさわ温泉		山梨県	35.87805591543348	138.3177775483273	1995	58.8	mg/kg	7.2	3067	1015	32.7	27.8		1025	437.5	690.7	
3778	裂石温泉	山楽荘	山梨県	35.738312168305725	138.80419447228954	1977	21.5	mg/kg	9.9		21	2.58	0.02		1.6	11.8	49.25	
3779	裂石温泉	雲峰荘	山梨県	35.74066574710722	138.80416604258517	1986	26.6	mg/kg	9.9	108	26.5	2.4			1.8	12.1	18.3	
3780	嵯峨塩鉱泉	嵯峨塩館	山梨県	35.68391832808352	138.8109897929461	1979	20.1	mg/kg	9.9	78.8	19.7	2.9			5.2	16.1	24.7	
3781	笹子温泉		山梨県	35.60544574712483	138.81139844053519	1990	19.8	mg/kg	6.1	128.2	5.7	3.6	1.3		4.3	52.4	25	
3782	佐野川温泉		山梨県	35.24850845705613	138.5091333430169	1985	31.5	mg/kg	9.68	668.3	191.3	47.8	0.004		271.4	11.6	54.8	
3783	塩沢鉱泉		山梨県	35.37450828263812	138.43583994000738	1981	15.4	mg/kg	7.6	490	158	12.3	4		50.8	49.1	345	
3784	塩之沢温泉		山梨県	35.37833520283929	138.45398079541843	1996	11.5	mg/kg	9.6	153.8	55.2	2.7	0.2		19.8	11.1	38.2	
3785	下部温泉	共同泉	山梨県	35.42111340464235	138.48195131897847	1985	31.6	mg/kg	8.52	435.3	72.4	49.3	0.6		60.5	180.3	21.4	
3786	下部温泉	古湯源泉館	山梨県	35.42233201239762	138.48142236506504	1987	30.5	mg/kg	8.77	516	115.1	63.6	0.2		78	262.6	18.3	
3787	下部温泉	古湯源泉館	山梨県	35.422314018950146	138.48151429442078		25.1	mg/kg	7.65	343	55.1	42.7	0.6		48.3	140	24.1	
3788	下部温泉	下部ホテル	山梨県	35.425998781065154	138.47096587359832	1969	25	mg/kg	7.4	223	27.5	32.82	2.927		25.7	100.4	44.82	
3789	下部温泉	大市館	山梨県	35.42242736733506	138.48175054112846	1989	29.3	mg/kg	8.3	468	76.4	59.2	0.3		56.6	205.5	26.4	
3790	下部温泉	橋本屋	山梨県	35.42291258366315	138.48175642742305	1977	30	mg/kg	5.9		95.9	62.2	0.66		79.3	217.5	19.89	
3791	下部温泉	湯元ホテル	山梨県	35.42264247640418	138.48141110180916	1977	32.4	mg/kg	5.5		77.9	55.8	0.4		69	167.5	21.12	
3792	下部温泉	湯元ホテル(岩風呂)	山梨県	35.4226736311592	138.48126471185955	1977	30	mg/kg	5		98	61.7	0.43		82.8	225	16.16	
3793	下部温泉	湯元ホテル(大風呂)	山梨県	35.4226188392314	138.4813321392048	1987	32	mg/kg	8.89	533	107.7	65.4	0.3		79.9	256.3	12.2	
3794	下部温泉	湯元ホテル(婦人風呂源泉)	山梨県	35.42271702327781	138.4812477376969	1969	31.4	mg/kg	8.7	432	64	58.15	0.146		52.19	174.9	20.55	
3795	下部温泉	湯元ホテル3号泉	山梨県	35.42260802531882	138.48155486185544	1955	32.5	mg/kg	8.6	498.8	65	78.79	1.66		75.75	213.3	32.34	
3796	杓子山鉱泉	不動湯	山梨県	35.48055860613573	138.8461200939328	1982	11.3	mg/kg	7.3	80	3.71	11.1	3.94		3.4	3	58.2	
3797	十谷温泉	源氏荘	山梨県	35.50704417503891	138.38873324442207	1990	32	mg/kg	9.1	11150	1145	2616	0.2		6265	180.2		
3798	十谷温泉	十谷荘	山梨県	35.50572645778404	138.38972163388993	1977	23.8	mg/kg	5.9		24.3	64.5	3.34		3.45	155	92.6	
3799	十谷温泉	山の湯	山梨県	35.50508695821944	138.39375904437293	1975	11.5	mg/kg	3.3		18.3	187.2	26.5		164.2	363		
3800	十谷温泉	柳泉閣	山梨県	35.50638833394098	138.38999721963734	1969	18.8	mg/kg	7.55	3124	430	740.7	65.56		2037	95.47	53.74	
3801	十枚荘温泉		山梨県	35.28053899627629	138.4213241299442	1994	29.7	mg/kg	9.1	2020	477.8	268.9	0.2		1157	1		
3802	十枚荘鉱泉		山梨県	35.28051949823119	138.42144387904298	1981	23.2	mg/kg	7.4	182	15.1	38.4	2.9		8	57.1	101	
3803	正徳寺温泉	初花	山梨県	35.68093052572826	138.66560381499957	1989	35.8	mg/kg	9.3	333.2	89.7	2.5	0.2		61.2	40	9.8	
3804	城山鉱泉		山梨県	35.55036747590102	138.9029822651994	1978		mg/kg	5.7		10.3	15.2	6		7.2	12	70.43	
3805	神明温泉	志摩の湯	山梨県	35.69082191266057	138.519730710607	1988	35.2	mg/kg	8.1	1268	429.8	29.1	2.2		654.2	13	82.4	
3806	須玉町温泉		山梨県	35.7866688856772	138.42278547232024	1981	35.1	mg/kg	7.4	985	282	32.2	17.3		220	21.8	622	
3807	積翠寺温泉	古湯坊	山梨県	35.710887406702994	138.59396170242007	1979	12	mg/kg	3.7		18.2	19	16.75			166		
3808	積翠寺温泉	要害温泉	山梨県	35.70229362506003	138.59132578140634	1979	12	mg/kg	6.55		10.1	3.1	1.95			29.2	6.4	
3809	たかねの湯		山梨県	35.83175025572981	138.4327878935317	1995	46	mg/kg	8.2	489.3	187.4	5.8	1.4		7	0.2	521.3	
3810	田野鉱泉	石川館	山梨県	35.64594776769635	138.80951670528364	1978	20.6	mg/kg	9.3		32.8		0.004		2.52	11	95.01	
3811	田野鉱泉	石黒屋	山梨県	35.64606962452437	138.80958083076217	1979	21.2	mg/kg	9.9	114	30.8	2.01			5.4	14.3	37.8	
3812	玉川温泉		山梨県	35.632577787386886	138.52671889686928	2002	41.5	mg/kg	7.7	952.5	296.5	26.5	21.2		293.3		476.5	
3813	鼓川温泉	交流促進センター	山梨県	35.747505936795946	138.64931299331167	1995	35.7	mg/kg	9.9	121.4	32.7	2.1			1.2	12.3		
3814	常葉温泉	光泉閣	山梨県	35.44606450236721	138.4825012090975	1977	13	mg/kg	6.2		47.6	35	3.34		1.33	77	165.6	
3815	都留市戸沢温泉	芭蕉月待ちの湯	山梨県	35.547612912493896	138.95733162524309	1996	35.4	mg/kg	9.6	219	50	12	0.04		1.6	102.2	6.1	
3816	手打沢鉱泉	康栄閣	山梨県	35.481183251625836	138.4339799398095	1975	13	mg/kg	7.2		115	70.5	51.3		1.69	540	95.69	
3817	天科温泉	こやす旅館	山梨県	35.813743014506564	138.75124211955463	1979	36.5	mg/kg	9.8	198	59.4	2.21			29.6	27	46.5	
3818	天科温泉	こやす旅館	山梨県	35.81374813011214	138.75136834146247	1988	28.1	mg/kg	9.8	189	55.7	1.6			25.9	19.3	26.8	
3819	天女の湯	丘の公園	山梨県	35.90386804094342	138.43157098388312	1996	47.1	mg/kg	7.7	2075	730	19.7	10.6		363.4	227	1242	
3820	道志の湯		山梨県	35.51405215594549	139.02548951131007	1998	7.5	mg/kg	7.8	2494	269.2	421.4	12.6		3.6	1651	13.4	
3821	戸川温泉	戸川レジャーセンター	山梨県	35.56527847926143	138.41944554796865	1974	15	mg/kg	2.7	1645	9.193	33.47	0.924		5.749	1078		
3822	豊富温泉	豊富村立健康福祉センター	山梨県	35.57192379567258	138.55592676313367	1993	33.9	mg/kg	9.6	1516	250.8	206.1	0.08		72	903.2		
3823	中富温泉		山梨県	35.48845514031284	138.43077728783572	1977	9.3	mg/kg			124	32.5	7.35		163.8	54	120.9	
3824	中道町温泉	YLO会館	山梨県	35.58972508816906	138.57751282067355	1976	29.4	mg/kg	7.6	361.2	66.07	26.25	10.95		5.107		318.5	
3825	名取温泉		山梨県	35.664790026173385	138.52375417118614	1986	36.3	mg/kg	7.73	1053	331.4	16	23.1		421	0.2	316.6	
3826	奈良田温泉	白根館	山梨県	35.57678490676513	138.30033778083478	1997	51.6	mg/kg	8.1	4189	1579	15.5	1.8		2366		285.3	
3827	奈良田温泉		山梨県	35.57650403472327	138.3006171534831	1979	42.2	mg/kg	8.6	1348	512.3	1.7	0.2		571.6	2	410.1	
3828	南部アルカディア温泉	なんぶの湯	山梨県	35.28055017626733	138.4638513026485	1997	38.5	mg/kg	9.9	201.6	58.5	3	0.1		33.9	6.5		
