# AIST/GSJ, Geochemical Map of Hot Spring Waters (GRES-DB ONSEN 2020), gbank.gsj.jp/gres-db
# source:    https://gbank.gsj.jp/gres-db/download/onsen/GSJ_DB_GRES-DB_ONSEN_2020.zip
# sha256:    09ceca4ebf6a4ba366c6093845f190b95e2fd3a2ad7c7d97f0ac074bc4a68cab
# licence:   政府標準利用規約 第2.0版 (CC BY 4.0 compatible), attribution required
# generated: scripts/fetch-aist.mjs -- do not edit by hand
#
# Positions are the AREA CENTROID of the polygon each row publishes. Every
# cell in this file is 187-191 m across, which is a publisher privacy
# choice rather than GPS scatter. The centroid is a distance key only: it
# must never be written to a record location or used to mint a pin.
ser	onsenName	sourceName	prefecture	lat	lng	measuredAt	celsius	unit	ph	tds	sodium	calcium	magnesium	iron	chloride	sulfate	bicarbonate	silica
107	地獄谷	地獄谷4	北海道	43.532906720898	142.89366291815224	1975	74.6	mg/l	1.92	926	20.4	35	5.6	14.83	21.3	558		106.7
108	地獄谷	地獄谷3	北海道	43.5329207118521	142.89367645947584	1975	93.8	mg/l	2.1	4414	68.1	113.6	28.7	38.24	31.9	3596.9		23.6
109	地獄谷	地獄谷-22	北海道	43.532957964491835	142.89364032309842	1987	79.8	mg/l	8	517	49.19	42.62	2.21		2.3	49.6	189	134
110	地獄谷	地獄谷2	北海道	43.53288955838151	142.89374620790406	1975	53.2	mg/l	3.43	201	7.6	13	4.5	0.93	16.6	92.2		47.8
111	地獄谷	地獄谷-18	北海道	43.53290517865567	142.89370167055742	1987	94.9	mg/l	2.5	1730	19.9	42.42	9.39		0.9	624		196
112	地獄谷	地獄谷-15	北海道	43.53290058692726	142.89357957885773	1987	86.2	mg/l	2.3	4020	23.74	39.19	20.91		3	1850		344
113	地獄谷	地獄谷-1	北海道	43.53293862559695	142.8936362218658	1987	90.6	mg/l	3.4	560	5.09	8.08	0.78		3.6	162		80.4
114	地獄谷	地獄谷1	北海道	43.53287180135576	142.89368172880629	1975	51.3	mg/l	2.38	1996	32.8	70.4	24.9	40.6	10.6	1255.9		50.6
115	地獄谷	新岳温泉2	北海道	43.54455188650901	142.903204826688	1975	75.6	mg/l	3.69	644	54.2	81.5	10.1	0.23	7.8	380.2		99.7
116	地獄谷	新岳温泉1	北海道	43.54462065733764	142.90316019933607	1975	68.1	mg/l	6.2	559	38.1	88.5	12.2		7.1	302.9	38.6	101.9
117	地獄谷	新岳-9	北海道	43.54458711046237	142.9030327828379	1987	66.3	mg/l	6.3	726	25.15	105.04	15.35		0.3	230	147	88.1
118	滝の湯温泉	静楽園	北海道	43.73384341382272	143.422556548109	1977	44.2	mg/l	9.4	234	70	0.2	0.1	0.03	49.7	3	100	51.8
119	相泊温泉		北海道	44.184327484265445	145.3176726334397	1978	56	mg/l	6.1	4321	1429	95.6	18.1	2.46	2225	159.7	247.7	168
120	層雲峡温泉	日赤旭川分院(幸ノ湯)	北海道	43.722532211991734	142.95568711813158	1988	91	mg/l	7.1	629	135.26	12.38	1.45		4.4	107	187	172
121	層雲峡温泉	朝陽荘上の湯	北海道	43.72982818942822	142.94251384473358	1977	74.4	mg/l	7.7	547	142.5	11.5	1.5		71.7	90.9	202.5	115.1
122	層雲峡温泉	層雲閣桂の湯	北海道	43.730410637062505	142.94096759447146	1952	72	mg/kg	7.4	687.6	122.9	16.9	2.5		68.5	98.3	199.6	95.778
123	層雲峡温泉	層雲閣グランドホテル宝の湯	北海道	43.73087389367251	142.94094402440544	1977	89.3	mg/l	7.3	616	149	15.6	1.7	0.04	81.6	102.3	220	155.7
124	層雲峡温泉	層雲閣グランドホテル川上の湯	北海道	43.730770124071505	142.94113596129154	1977	66.4	mg/l	7.8	533	139	14	2.2	0.06	67.7	60.5	250.1	117.6
125	層雲峡温泉	層雲閣グランドホテル川下の湯	北海道	43.73049780310802	142.94086516301797	1977	60.4	mg/l	7.6	480	120.7	14.6	2.9		62.7	52.5	233.6	119.5
126	層雲峡温泉	層雲閣グランドホテル桂上の湯	北海道	43.730700154175835	142.94098117442408	1977	93.2	mg/l	7.9	597	155	13	2.4	0.07	78.8	94.9	237.9	124.3
127	層雲峡温泉	層雲閣グランドホテル-1	北海道	43.72658623781973	142.9534238361452	1988	68.8	mg/l	7.5	551	122.54	15.28	2.33		40.4	56.5	238	123
128	層雲峡温泉	層雲閣-美女の湯	北海道	43.73080415036501	142.94066195354074	1952	68	mg/kg	7.4	546.6	84.8	15.9	1		60	55	158.6	23.079
129	層雲峡温泉	層雲閣-神の湯	北海道	43.730511896449606	142.94113485261127	1958	66	mg/kg	7.4	554	120	11.4	4.8		63.7	65	215	60.467
130	層雲峡温泉	商店街地区旅館組合	北海道	43.72766549735107	142.9472409313505	1971	22	mg/kg	3.3	405	43	12.09	9.42		24.85	279		17.848
131	層雲峡温泉	荒井建設-霊光の湯	北海道	28.59333732616449	93.4626251354343	1963	50	mg/kg	7	462	80.2	23.5	4.4		21.3	23.8	271.8	62.006
132	層雲峡温泉	荒井建設-宝石の湯2号	北海道	43.730397087492285	142.94130304762504	1963	60	mg/kg	7.4	472	89	25	3.6		53.2	90.3	163.1	38.465
133	層雲峡温泉	荒井建設-宝石の湯	北海道	43.73062997446883	142.94132275500607	1961	60	mg/kg	7.4	492	92	20.7	3.82		42.6	67.8	213.5	69.468
134	層雲峡温泉	銀泉閣	北海道	43.725401356473135	142.94633836533856	1977	63.2	mg/l	7.8	679	170.4	12.6	1.7	0.02	85.9	122	229.4	157.5
135	層雲峡温泉	銀河荘銀の湯	北海道	43.72671670924052	142.94589376696177	1971	51	mg/kg	7.2	708.9	143	27.6	9.42		28.4	125	461	75.853
136	層雲峡温泉	銀河荘金の湯	北海道	43.72696346032767	142.9458042623454	1971	48	mg/kg	7	418.3	110	27.45	5.23		17.7	122	298	29.772
137	層雲峡温泉	観光ホテル霊泉の湯	北海道	43.728509428713814	142.94527248693035	1952	75	mg/kg	7.3	826.8	178.604	34.59	2.97		35.358	104.17	450.86	103.986
138	層雲峡温泉	観光ホテル岸の湯	北海道	43.7286108972429	142.94481616434845	1952	75	mg/kg	7.8	568	86.127	35.735			27.723	53.95	323.324	68.277
139	層雲峡温泉	観光ホテル	北海道	43.728418587479084	142.94433826711142	1966	59	mg/kg	6.6	791	148	32	15		40	98	432	120.78
140	層雲峡温泉	観光ホテル	北海道	43.72827969298049	142.94524337898886	1977	62.4	mg/l	6.6	778	207.3	21.7	9.1	0.97	44.4	59.7	567.3	160.5
141	層雲峡温泉	ホテル層雲(駐車場)	北海道	43.73060202039973	142.94090014606806	1988	47.1	mg/l	6.2	621	137.41	23.08	4.98		11.7	105	341	61.8
142	層雲峡温泉	千鳥の湯	北海道	43.72251321623692	142.95548378685896	1985	88	mg/l	7.2		130	12	0.43					130
143	層雲峡温泉	幸の湯	北海道	43.72248397907497	142.95552241523959	1985	87.2	mg/l	7.6		140	11	1.3					160
144	層雲峡温泉	観光ホテル-2	北海道	43.728362918111614	142.94459202730621	1985	63.5	mg/l	7.8	742	200	21	8.4		36	4.9	570	150
145	層雲峡温泉	観光ホテル-1	北海道	43.728325088482464	142.94493836876606	1985	62.5	mg/l	7.8	683	190	21	7.2	1.2	38	67	720	130
146	層雲峡温泉	温泉組合	北海道	43.72388974502701	142.9522252598878	1985	77	mg/l	7.6	535	120	16	1.7		69	91	190	140
147	層雲峡温泉	営林局の湯	北海道	43.72452504306129	142.9525353468462	1985	82.5	mg/l	7.6		160	13	1.6					140
148	層雲峡温泉	営林局	北海道	43.72508786266603	142.95237230406838	1985	80.5	mg/l	7.6	599	140	17	1.9		81	90	220	140
149	層雲峡温泉	ホテル大雪	北海道	43.7253869854481	142.95043550884438	1985	75	mg/l	7.8	588	140	15	2.5		74	100	200	130
150	層雲峡温泉	ホテル層雲	北海道	43.73062670785572	142.94071638894474	1985	54.5	mg/l	7.6	662	190	16	3.2		20	86	480	100
151	層雲峡温泉	ホテル石狩	北海道	43.727906483853026	142.9468503787221	1985	63.5	mg/l	6.8		160	24	2.4					85
152	層雲峡温泉	ホテル銀河	北海道	43.726811464691856	142.94570594440836	1985	60.5	mg/l	7.6	515	140	28	5		14	65	530	83
153	層雲峡温泉	グランドホテル	北海道	43.726722027314366	142.9532843724513	1985	66	mg/l	7.6		140	9	1.4					120
154	川北温泉	川北温泉-E	北海道	43.70256571225355	144.91272751007048	1975	27.5	mg/l	6	1566	403.7	85.3	55.6	4.24	450.9		872.3	153.4
155	川北温泉	川北温泉-D	北海道	43.70250762156042	144.91279692975579	1975	37	mg/l	6.1	2595	848.8	46.8	53.8	2.24	919.5		1098	191.6
156	川北温泉	川北温泉-C	北海道	43.70251323507382	144.912720296186	1974	74.3	mg/l	6.5	13388	4545	144.7	27.3	9.46	7380	92	431.9	136.1
157	川北温泉	川北温泉-B	北海道	43.702582062157404	144.91279250308116	1974	51.4	mg/l	6.1	6176	2018	79.7	18.1	1.03	3197	17	396.5	146.4
158	川北温泉	川北温泉-A	北海道	43.70251465995393	144.91261804606597	1974	58.1	mg/l	6.1	8226	2755	98.7	21.1	0.33	4336	24	427	133.7
159	川北温泉	石油の沢	北海道	43.70256803116334	144.91258378583046	1993	36.5	mg/l	6.6	3200	500	160	150	4.2	1300	200	210	120
160	川北温泉		北海道	43.7026550316444	144.9126079929745	1993	60.6	mg/l	6.2	12000	3500	100	25	0.75	5600	87	1300	130
