# NOAA NCEI Thermal Springs List for the United States (1981)
# source:    https://www.ncei.noaa.gov/data/oceans/archive/arc0238/0303600/1.1/data/0-data/geothermal_database/data/NCEI-thermal-springs.xlsx
# doi:       10.25921/c8p0-zs06
# sha256:    bb3e65d8fbf34d25b6e6d071f86dc5d67f68ee022d55ff7aac428d29283d351c
# licence:   CC0-1.0 Public Domain Dedication
# retrieved: 2026-09-07
# Generated by scripts/fetch-ncei.mjs. Do not edit by hand.
state	lat	lng	name	tf	tc
AK	65.97	-154.03299999999999	POCAHONTAS HOT SPRINGS	H	H
AK	65.962999999999994	-150.91900000000001	RAY RIVER HOT SPRING	117	47
AK	69.626999999999995	-146.02699999999999	RED HILL SPRING	91	33
AK	67.283000000000001	-155.06700000000001	REED RIVER HOT SPRING	122	50
AK	65.858000000000004	-164.71	SERPENTINE HOT SPRINGS	171	77
AK	56.58	-132.18	SOUTH STIKINE SPRING	W	W
AK	56.927999999999997	-158.12	SURPRISE LAKE HOT SPRING	73	23
AK	57.780999999999999	-135.21700000000001	TENAKEE HOT SPRINGS	109	43
AK	53.442999999999998	-168.09200000000001	THERMAL SPRINGS IN OKMOK CALDERA	212	100
AK	65.274000000000001	-148.84700000000001	TOLOVANA HOT SPRINGS	140	60
AK	66.197000000000003	-154.006	TUNALKTEN LAKE HOT SPRING	null	null
AK	56.667000000000002	-132.28	TWIN LAKES HOT SPRINGS	70	21
AK	62.081000000000003	-145.00700000000001	UPPER KLAWASI WARM SPRINGS	86	30
AK	57.831000000000003	-156.51300000000001	W UKINEK SPRING	178	81
AK	66.382999999999996	-157.517	WARM SPRING NEAR PURCELL MOUNTAIN	68	20
AK	57.807000000000002	-136.34100000000001	WHITE SULPHUR SPRINGS (HOONIAH H S)	111	44
AR	34.542000000000002	-93.024000000000001	BIG CHALYBEATE SPRING	79	26
AR	34.384	-93.606999999999999	CADDO GAP SPRINGS	95	35
AR	34.512999999999998	-93.052999999999997	HOT SPRINGS	147	64
AR	34.405999999999999	-93.908000000000001	SPRING ON LITTLE MISSOURI RIVER	74	23
AR	34.320999999999998	-93.739000000000004	SPRING ON REDLAND MOUNTAIN	77	25
AR	36.479999999999997	-91.052999999999997	WARM SPRINGS	82	28
AZ	32.280999999999999	-110.73	AGUA CALIENTE	86	30
AZ	31.695	-110.96299999999999	AGUA CALIENTE SPRING	90	32
AZ	32.984000000000002	-113.324	AGUA CALIENTE SPRINGS	102	39
AZ	31.672999999999998	-109.902	ANTELOPE SPRING	79	26
AZ	31.361999999999998	-109.265	ASTIN SPRING	75	24
AZ	34.924999999999997	-114.221	CALICHE SPRING	79	26
AZ	35.213000000000001	-113.425	CASA GRANDE SPRING	72	22
AZ	33.51	-110.40300000000001	CASSADORE SPRING	73	23
AZ	33.988	-112.36199999999999	CASTLE HOT SPRINGS	115	46
AZ	33.055	-109.295	CLIFTON HOT SPRINGS	102	39
AZ	34.695	-113.572	COFER HOT SPRING	97	36
AZ	36.509	-111.852	COLORADO POOL	86	30
AZ	33.17	-110.52800000000001	COOLIDGE DAM WARM SPRING	99	37
AZ	33.045999999999999	-109.44	EAGLE CREEK HOT SPRINGS	97	36
AZ	35.168999999999997	-113.851	FROST MINE SPRING	70	21
AZ	32.970999999999997	-109.35	GILLARD HOT SPRINGS	180	82
AZ	33.008000000000003	-109.77800000000001	GRAPEVINE SPRING	91	33
AZ	33.4	-109.152	HANNAH HOT SPRING	133	56
AZ	32.335999999999999	-110.24	HOOKERS HOT SPRINGS	127	53
AZ	35.984000000000002	-114.742	HOT SPRING	H	H
AZ	33.08	-109.303	HOT SPRING	138	59
AZ	35.96	-114.72499999999999	HOT SPRING	86	30
AZ	32.997999999999998	-109.901	INDIAN HOT SPRINGS	118	48
