# Nevada Bureau of Mines and Geology, AASG state geothermal data (aqSpringChemistry)
# source:    https://web2.nbmg.unr.edu/ArcGIS/rest/services/
# taken:     2026-09-11
# sha256:    40a3ce8bd49cab02a7e3fd3cc45f85949dfd936eb460fdbc7cc0e2dffd60edbb
# licence:   US state geological survey data, public domain.
# generated: scripts/fetch-nbmg.mjs -- do not edit by hand
#
# A SNAPSHOT, NOT A PINNED DERIVATION. The upstream is a query service
# with no published archive, so there is nothing to hash but this file.
# data:build is reproducible from it; the fetch is not.
#
# Chemistry only. This service also publishes FluidTemperature_C and it is
# NOT read: it yields twelve springs against the atlas and that seam is
# closed, not deferred.
#
# rows:      6319 across 1411 sampling sites (NV:5405, CO:914)
# values:    calcium 3976, magnesium 1929, sodium 3699, potassium 3569, silica 3668, chloride 4168, sulfate 3902, bicarbonate 1323, iron 1438, ph 1947
# complete:  every service answered
site	name	state	lat	lng	measuredAt	calcium	magnesium	sodium	potassium	silica	chloride	sulfate	bicarbonate	iron	ph
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_05-3/	Chaffee County Browns Grotto Warm Spring	CO	38.63694	-106.07389	1975										7
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_06-1/	Fremont County Canon City Hot Springs	CO	38.43222	-105.26139	1920	169.4	53.58	160.8	33.2	26.1	184.1	112			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_06-1/	Fremont County Canon City Hot Springs	CO	38.43222	-105.26139	1920	169.4		160.8	33.2	26.1	184.1	112	804		
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_06-1/	Fremont County Canon City Hot Springs	CO	38.43222	-105.26139	1975	190	62	190	15	22	180	130			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_06-1/	Fremont County Canon City Hot Springs	CO	38.43222	-105.26139	1975	190		190	15	22	180	130	887		
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_06-1/	Fremont County Canon City Hot Springs	CO	38.43222	-105.26139	1975										6.3
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_06-1/	Fremont County Canon City Hot Springs	CO	38.43222	-105.26139	1976	170	61	190	15	21	190	120			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_06-1/	Fremont County Canon City Hot Springs	CO	38.43222	-105.26139	1976	170		190	15	21	190	120	888		
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_06-1/	Fremont County Canon City Hot Springs	CO	38.43222	-105.26139	1976	190	55	180	16	21	190	130			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_06-1/	Fremont County Canon City Hot Springs	CO	38.43222	-105.26139	1976	190		180	16	21	190	130	888		
